Prot Accession,Gene Name,0h,4h,8h,12h,24h,48h
P22752,Hist3h2a,0.0,-1.0643696220054963,-0.8311902752551843,-0.3203026419891661,0.4381424209231638,0.1505709848437651
Q7TNV0,Dek,0.0,-0.6881816095494869,-0.42441018164769845,-0.1486612542541189,0.24907559672617702,0.08489943812096458
P56379,Mp68,0.0,-0.4999494520425613,-0.19210526059275143,0.1269427355256883,0.36700794990098945,0.07260533806595997
Q9JK81,Myg1,0.0,0.17466286332991715,0.40742337378604515,0.8974666486091684,1.2395646584275397,1.1769783934931175
Q8BJ05,Zc3h14,0.0,-1.2495558478873916,-0.7610787059390509,-0.7915106369098764,-0.673286063634798,-1.2486821348387758
Q9D0N7,Chaf1b,0.0,-0.7452663436737713,-0.66435976364623,-0.5059648763660495,-0.5030931325241067,-0.6511260145298823
P08228,Sod1,0.0,-0.09039656488355416,0.11704274484352005,0.2755472615928798,0.5354305722649455,0.3610405376848236
O55142,Rpl35a,0.0,-0.6316173961184269,-0.42803522688377293,-0.05183212425193773,-0.11299959256525052,-0.5959750070542524
Q91WK2,Eif3h,0.0,1.162276311145226,1.675428892966286,2.916622708631061,2.8679881949221837,2.8795127760741273
P52480,Pkm,0.0,-0.6339158065971313,-0.46943313121491476,-0.32502416939439954,0.6308543873720358,1.2515534925346263
Q8CGP7,Hist1h2ak,0.0,-0.5135699294508449,-0.09534670444384165,0.2388422170529248,0.7082123071985433,0.6542946587509357
E9PW43,Gm10320,0.0,-0.7649496221776404,-0.7191289774999419,-0.5745214919846132,-0.5302369013861256,-0.6820450023586975
Q80U70,Suz12,0.0,-0.46072660740509985,-0.30796819280082294,-0.27448503520980244,-0.326086007055802,-0.6823777168623206
H7BX95,Srsf1,0.0,-0.7317745439988118,-0.4181717468057345,-0.21924074024144694,0.04373049721878252,-0.0713453438538213
Q7TMK9-2,Syncrip,0.0,-0.8386473782053675,-0.5321667283588016,-0.6466511146324416,-0.44478561254945664,-0.6544416615837529
Q91VM5,Rbmxl1,0.0,-0.7554564029416757,-0.8557580700906102,-0.6298564366493778,-0.41758264214580915,-0.6735969840335346
P10854,Hist1h2bb,0.0,-0.7382200082476169,-0.2736892838225674,-0.28990258550786563,0.5744694861175241,0.28529581419459327
Q9WV02,Rbmx,0.0,-0.6956353594306574,-0.4390830488273208,-0.2113656435909856,0.2772645874008477,0.08805985807995041
Q9D115,Znf706,0.0,-0.06910719354993533,0.146038597162269,0.5753541061254495,0.6186037692361512,0.587223952986545
P56480,Atp5b,0.0,-0.9239675726446698,-0.785472159269189,-0.6521705364634508,-0.5725728856774002,-0.7933750533394941
Q8C405,Sp100,0.0,-0.6806337522330782,-0.31685489294044156,-0.46655227336886756,0.08920715336562209,0.3957584484486619
P63082,Atp6v0c,0.0,-0.5767860583205555,-0.22793861723361908,-0.18855903433377574,0.025465692181615613,-0.079947302858418
Q69ZR2,Hectd1,0.0,-0.5871041458714414,-0.4354642699375834,-0.5060470895046801,-0.33507653618869276,-0.5456268065581023
Q5EBP8,Gm7729,0.0,-0.9356805648380796,-0.4746454001030338,-0.6197546518318159,-0.5152958642354811,-0.7607022744980955
Q9DAK9,Phpt1,0.0,-0.5965700163269924,-0.39444502863442843,-0.16474068796946467,0.5826405881958938,0.08220657767080858
Q9Z2U0,Psma7,0.0,-0.7806194570705476,-0.43463180067507556,-0.3018647754326075,-0.11353487539702006,-0.25226365319298194
P54729,Nub1,0.0,-1.0552153259826484,-0.6755975195660823,-0.626872408481663,-0.4072052390598327,-0.7741277436650139
Q91YT0,Ndufv1,0.0,-0.5481230389568391,-0.3962306149447454,-0.2762324856942756,-0.3050768415617968,-0.48168687779005526
Q3UJB0,Sf3b2,0.0,-0.6933202945845423,-0.40336515121515604,-0.14608965015922015,0.006085632722267423,-0.2549432154634111
P57780,Actn4,0.0,0.42016092612346645,0.7873176953563832,1.2408144111951258,1.6677011760720186,1.7239383700680058
Q8C2B3-3,Hdac7,0.0,-0.6133267321411341,-0.6390354813876133,-0.8199406342947123,-0.2239706179997038,-0.004619342495594412
G5E924,Hnrnpl,0.0,-0.8286071180240311,-0.42931217919469983,-0.2941142068297237,-0.43940201788878536,-0.3453824346752913
G5E866,Sf3b1,0.0,-0.8707511973801542,-0.9777087565954158,-0.7070423996298495,-0.5358014737765422,-0.9173805991920121
Q7TSC1,Prrc2a,0.0,-0.773811801045936,-0.7456066210738715,-0.6398002124759639,-0.5892000177289644,-0.8835525672815346
Q922I7,Ptbp1,0.0,-0.7390251645289558,-0.6246744603482773,-0.5732597828431785,-0.5894580482795625,-0.3090423989107624
Q8VDM6,Hnrnpul1,0.0,-0.7714778877566615,-0.4336837392043494,-0.3367461048551351,0.08606165498438968,-0.018613700457274236
Q3TWW8,Srsf6,0.0,4.299146658675797,4.657251662708502,6.900764876355222,6.999263976312898,7.3751459634171495
Q78PY7,Snd1,0.0,-0.6431350371888631,-0.4823579506744727,-0.3398474389172156,-0.38722232505950654,-0.8080986602371365
P47911,Rpl6,0.0,0.39049213867713095,0.4949295866278059,0.9391776350394891,0.9103539411025606,-0.10576256066012184
Q9R060,Nubp1,0.0,-0.928945111683609,-0.9883672998846114,-0.6741438461330959,-1.0415164877511622,-0.8691775349082139
P09405,Ncl,0.0,-0.9536736255653264,-0.996674936354668,-0.8990526111103291,-0.7929781413647881,-0.7700349820293797
P54276,Msh6,0.0,-0.8936656582171921,-0.49893956876239887,-0.4974110282004514,-0.23251112729183346,-0.2288636816705303
Q9CYN2,Spcs2,0.0,-0.46854995903779156,-0.17564762790803254,0.07834889393414488,0.18205369766717447,0.12007792889180724
Q8BHN3-2,Ganab,0.0,-0.5488738047829688,-0.2682411214375849,-0.10605415351183388,0.1995630092668598,0.09288534548579047
Q8VDM4,Gm5422,0.0,-0.4021013322965581,-0.43362199785422745,-0.46115973773589747,-0.1902705950804646,-0.04987345598501093
Q00417,Tcf7,0.0,-0.6028256757189356,-0.39761353815096195,-0.027645711892687184,0.24078663109006215,-0.1277258418378768
Q8CFI7,Polr2b,0.0,-0.9245079791674808,-0.6645912975878289,-0.690874064290673,-0.482485027800204,-0.6182522094432852
Q8BTI8,Srrm2,0.0,-0.9840123886829776,-0.7570695670716493,-0.4865393949919298,-0.4216483355625076,-0.9202830264033627
Q9WUM5,Suclg1,0.0,-0.5527806589780111,-0.18909211312860608,0.00995869395248726,0.041717483176670234,-0.21734092349953635
E9PVA8,Gcn1l1,0.0,-0.7354021189717717,-0.39872373437653985,-0.7174475466239706,-0.39138002026809693,-0.4378894447609532
Q9CPW4,Arpc5,0.0,-0.5572771978625528,-0.3636705978921929,-0.2155788174591779,0.13749887152316326,0.06790723125771538
Q8C3Y4,Kntc1,0.0,-0.5967944648414785,-0.4150626591731593,-0.20316346370371247,0.06786014241089815,-0.34118642147410216
P54728,Rad23a,0.0,-0.7815219872172046,-0.48068015285497645,-0.16993719411932223,0.016569565192024172,-0.2654809585464305
Q8BG13,Rbm3,0.0,-0.20163766075255404,-0.37661862567109394,-0.3067877587678317,-0.31855510602510734,-0.770348893948732
P60824,Cirbp,0.0,-0.8580153740575698,-0.3183424044737744,-0.07657574870155545,0.2178526950752837,0.1392081874785858
P30416,Fkbp4,0.0,-0.36880209955891874,-0.48900448334825486,-0.6124318746343909,-0.4555794891875801,-0.8738881536516937
Q8BG05,Hnrnpa3,0.0,-0.8879278649347158,-0.7080141031100127,-0.5561110668157936,-0.26736524337975587,-0.47954798841892476
H3BJW3,Cpsf6,0.0,-1.0262172328848103,-0.5183365043896488,-0.2984351841118436,-0.09564930536133177,-0.47322157405960036
P70677,Casp3,0.0,0.07696648448033411,0.5084494742215732,1.1900185129489718,1.389291982516893,1.3304346655867174
Q91VW3,Sh3bgrl3,0.0,-0.963763928421743,-0.6403277457520321,-0.3414410486439904,-0.02417677659428755,0.23053944035910207
Q9CPP0,Ncan,0.0,-0.556344887599258,-0.5158181155817156,-0.5347855046164652,-0.5851629491514186,-1.3318901032316235
E9PVX6,Mki67,0.0,-0.8108347719156053,-0.6314144323756097,-0.5340178774937562,-0.1290192801502499,-0.5455907862309527
Q8BQ46,Taf15,0.0,-1.029495124465352,-0.8666388918093739,-0.8759232357143502,-0.4701953925992506,-0.9887620670477685
P42230,Stat5a,0.0,-0.5152405243395142,-0.3867519901956696,-0.20783426121998186,0.1282602663290689,-0.17328611994651677
P63087-2,Ppp1cc,0.0,-0.24260127167729667,-0.14634350992615427,-0.3614538802251473,-0.05759681795595344,-0.0017210157626890332
P40142,Tkt,0.0,-0.8758641007892533,-0.4139384126631717,-0.39971145008376496,-0.22338070848048058,-0.590763279167984
D3YTQ3,Gm4340,0.0,-1.2648320417720538,-1.0092414824108147,-0.9215999516436272,-1.044123848632851,-1.3430809940435273
